Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Endgame,$2797501328,$858373000,30.7%,$1939128328,69.3%
2,The Lion King,$1656943394,$543638043,32.8%,$1113305351,67.2%
3,Frozen II,$1450026933,$477373578,32.9%,$972653355,67.1%
4,Spider-Man: Far from Home,$1131927996,$390532085,34.5%,$741395911,65.5%
5,Captain Marvel,$1128274794,$426829839,37.8%,$701444955,62.2%
6,Joker,$1074251311,$335451311,31.2%,$738800000,68.8%
7,Star Wars: Episode IX - The Rise of Skywalker,$1074144248,$515202542,48%,$558941706,52%
8,Toy Story 4,$1073394593,$434038008,40.4%,$639356585,59.6%
9,Aladdin,$1050693953,$355559216,33.8%,$695134737,66.2%
10,Jumanji: The Next Level,$800059707,$320314960,40%,$479744747,60%
11,Fast & Furious Presents: Hobbs & Shaw,$759056935,$173956935,22.9%,$585100000,77.1%
12,Ne Zha,$726063471,$3695533,0.5%,$722367938,99.5%
13,The Wandering Earth,$699856699,$5971413,0.9%,$693885286,99.1%
14,How to Train Your Dragon: The Hidden World,$521799505,$160799505,30.8%,$361000000,69.2%
15,Maleficent: Mistress of Evil,$491730089,$113929605,23.2%,$377800484,76.8%
16,It Chapter Two,$473093228,$211593228,44.7%,$261500000,55.3%
17,My People My Country,$450064993,$2356683,0.5%,$447708310,99.5%
18,Pokémon Detective Pikachu,$433005346,$144105346,33.3%,$288900000,66.7%
19,The Secret Life of Pets 2,$430051293,$158874395,36.9%,$271176898,63.1%
20,The Captain,$417282021,$706572,0.2%,$416575449,99.8%
21,Alita: Battle Angel,$404980543,$85838210,21.2%,$319142333,78.8%
22,Godzilla: King of the Monsters,$386600138,$110500138,28.6%,$276100000,71.4%
23,1917,$384623579,$159227644,41.4%,$225395935,58.6%
24,Once Upon a Time... In Hollywood,$374375059,$142502728,38.1%,$231872331,61.9%
25,Shazam!,$365971656,$140371656,38.4%,$225600000,61.6%
26,Dumbo,$353284621,$114766307,32.5%,$238518314,67.5%
27,Crazy Alien,$327598891,-,-,$327598891,100%
28,John Wick: Chapter 3 - Parabellum,$326709727,$171015687,52.3%,$155694040,47.7%
29,Knives Out,$311539397,$165363234,53.1%,$146176163,46.9%
30,Terminator: Dark Fate,$261119292,$62253077,23.8%,$198866215,76.2%
31,Parasite,$258774734,$53369749,20.6%,$205404985,79.4%
32,Pegasus,$255863112,-,-,$255863112,100%
33,Us,$255184580,$175084580,68.6%,$80100000,31.4%
34,Men in Black: International,$253890701,$80001807,31.5%,$173888894,68.5%
35,X-Men: Dark Phoenix,$252442974,$65845974,26.1%,$186597000,73.9%
36,Glass,$246999039,$111048468,45%,$135950571,55%
37,The Bravest,$245179562,$290217,0.1%,$244889345,99.9%
38,Annabelle Comes Home,$231252591,$74152591,32.1%,$157100000,67.9%
39,Better Days,$225918798,$1921657,0.9%,$223997141,99.1%
40,Ford v Ferrari,$225508210,$117624357,52.2%,$107883853,47.8%
41,Little Women,$216601214,$108101214,49.9%,$108500000,50.1%
42,The Addams Family,$203044905,$100044905,49.3%,$103000000,50.7%
43,Rocketman,$195179299,$96368160,49.4%,$98811139,50.6%
44,Downton Abbey,$193820755,$96854135,50%,$96966620,50%
45,Weathering with You,$193485685,$7798743,4%,$185686942,96%
46,The Lego Movie 2: The Second Part,$192306508,$105806508,55%,$86500000,45%
47,Sheep Without a Shepherd,$191602146,-,-,$191602146,100%
48,The White Storm 2: Drug Lords,$189396380,$609461,0.3%,$188786919,99.7%
49,Abominable,$179053956,$60716390,33.9%,$118337566,66.1%
50,Ip Man 4: The Finale,$176345966,$3956031,2.2%,$172389935,97.8%
51,Gemini Man,$173469516,$48546770,28%,$124922746,72%
52,Spies in Disguise,$171616764,$66757013,38.9%,$104859751,61.1%
53,Hustlers,$157563598,$104963598,66.6%,$52600000,33.4%
54,The Climbers,$156892866,$487157,0.3%,$156405709,99.7%
55,Escape Room,$155712077,$57005601,36.6%,$98706476,63.4%
56,Yesterday,$153178480,$73286650,47.8%,$79891830,52.2%
57,The Angry Birds Movie 2,$147792047,$41667116,28.2%,$106124931,71.8%
58,Angel Has Fallen,$146661977,$69030436,47.1%,$77631541,52.9%
59,Ad Astra,$127461872,$50188370,39.4%,$77273502,60.6%
60,Midway,$127420861,$56846802,44.6%,$70574059,55.4%
61,The Upside,$125852517,$108252517,86%,$17600000,14%
62,The Curse of la Llorona,$123133739,$54733739,44.5%,$68400000,55.5%
63,Looking Up,$122994583,$84267,<0.1%,$122910316,99.9%
64,Zombieland: Double Tap,$122810399,$73123082,59.5%,$49687317,40.5%
65,Last Christmas,$121550750,$35150750,28.9%,$86400000,71.1%
66,Extreme Job,$119932733,$1565885,1.3%,$118366848,98.7%
67,Dora and the Lost City of Gold,$119682635,$60477943,50.5%,$59204692,49.5%
68,Wonder Park,$119559110,$45216793,37.8%,$74342317,62.2%
69,P Storm,$117991727,$326711,0.3%,$117665016,99.7%
70,Detective Conan: The Fist of Blue Sapphire,$115570314,-,-,$115570314,100%
71,The Gentlemen,$115171795,$36471795,31.7%,$78700000,68.3%
72,Pet Sematary,$113118226,$54724696,48.4%,$58393530,51.6%
73,Boonie Bears: Blast Into the Past,$112369259,-,-,$112369259,100%
74,Good Boys,$111037232,$83140306,74.9%,$27896926,25.1%
75,Scary Stories to Tell in the Dark,$104545505,$68947075,65.9%,$35598430,34.1%
76,Line Walker 2: Invisible Spy,$99482027,$296751,0.3%,$99185276,99.7%
77,The New King of Comedy,$95618308,-,-,$95618308,100%
78,The Hustle,$95017038,$35417038,37.3%,$59600000,62.7%
79,Adoring,$94975692,-,-,$94975692,100%
80,Crawl,$91542097,$39014193,42.6%,$52527904,57.4%
81,Five Feet Apart,$91522094,$45729221,50%,$45792873,50%
82,Rambo: Last Blood,$91490353,$44819352,49%,$46671001,51%
83,Jojo Rabbit,$90335025,$33370906,36.9%,$56964119,63.1%
84,One Piece: Stampede,$81562741,$1298528,1.6%,$80264213,98.4%
85,A Dog's Way Home,$80708134,$42004346,52%,$38703788,48%
86,Cold Pursuit,$76419755,$32138862,42.1%,$44280893,57.9%
87,A Dog's Journey,$75741734,$22782371,30.1%,$52959363,69.9%
88,A Madea Family Funeral,$74747725,$73257045,98%,$1490680,2%
89,Cats,$73833459,$27166770,36.8%,$46666689,63.2%
90,Charlie's Angels,$73279888,$17803077,24.3%,$55476811,75.7%
91,Doctor Sleep,$72381712,$31581712,43.6%,$40800000,56.4%
92,Serial (Bad) Weddings 2,$72300780,-,-,$72300780,100%
93,What Men Want,$72216294,$54611903,75.6%,$17604391,24.4%
94,After,$69756455,$12138565,17.4%,$57617890,82.6%
95,Exit,$69501772,$470699,0.7%,$69031073,99.3%
96,Playing with Fire,$69412425,$44451847,64%,$24960578,36%
97,A Beautiful Day in the Neighborhood,$67760877,$61704055,91.1%,$6056822,8.9%
98,War,$67179155,$4654000,6.9%,$62525155,93.1%
99,Eiga Doraemon: Nobita no getsumen tansaki,$65406606,-,-,$65406606,100%
100,Happy Death Day 2U,$64600152,$28148130,43.6%,$36452022,56.4%
101,White Snake,$61631776,$34730,<0.1%,$61597046,99.9%
102,Bombshell,$61404394,$31762808,51.7%,$29641586,48.3%
103,Ashfall,$61354854,$372562,0.6%,$60982292,99.4%
104,Ma,$61105672,$45896028,75.1%,$15209644,24.9%
105,My Best Summer,$60011073,-,-,$60011073,100%
106,Ready or Not,$57615777,$28714231,49.8%,$28901546,50.2%
107,Jade Dynasty,$57149764,-,-,$57149764,100%
108,Das perfekte Geheimnis,$56573047,-,-,$56573047,100%
109,The Big Shot,$56040681,-,-,$56040681,100%
110,Hellboy,$55064690,$21903748,39.8%,$33160942,60.2%
111,Long Shot,$53873809,$30316271,56.3%,$23557538,43.7%
112,Kingdom,$50574061,-,-,$50574061,100%
113,Breakthrough,$50444358,$40713082,80.7%,$9731276,19.3%
114,Just Mercy,$50401502,$36001502,71.4%,$14400000,28.6%
115,Uncut Gems,$50023780,$50023780,100%,-,-
116,21 Bridges,$49939757,$28539757,57.1%,$21400000,42.9%
117,Song of Youth,$49615508,-,-,$49615508,100%
118,The Grudge,$49511319,$21221803,42.9%,$28289516,57.1%
119,Little,$48987096,$40860481,83.4%,$8126615,16.6%
120,Isn't It Romantic,$48791187,$48791187,100%,-,-
121,The Legend of Hei,$48507082,-,-,$48507082,100%
122,Countdown,$48021766,$25621766,53.4%,$22400000,46.6%
123,Midsommar,$47863365,$27426361,57.3%,$20437004,42.7%
124,Queen & Slim,$47856414,$43808310,91.5%,$4048104,8.5%
125,47 Meters Down: Uncaged,$47582563,$22260900,46.8%,$25321663,53.2%
126,Chasing the Dragon II: Wild Wild Bunch,$45733356,$196634,0.4%,$45536722,99.6%
127,Judy,$45701880,$24313888,53.2%,$21387992,46.8%
128,Child's Play,$44907074,$29208403,65%,$15698671,35%
129,Son of a Rich,$43833888,-,-,$43833888,100%
130,Richard Jewell,$43745542,$22345542,51.1%,$21400000,48.9%
131,Harriet,$43347017,$43082155,99.4%,$264862,0.6%
132,A Shaun the Sheep Movie: Farmageddon,$43100248,-,-,$43100248,100%
133,Fighting with My Family,$40811919,$22958886,56.3%,$17853033,43.7%
134,Masquerade Hotel,$40396244,-,-,$40396244,100%
135,The Last Wish,$39756292,-,-,$39756292,100%
136,Uri: The Surgical Strike,$39346577,$4186168,10.6%,$35160409,89.4%
137,Overcomer,$38026103,$34746945,91.4%,$3279158,8.6%
138,Pain and Glory,$37359689,$4567338,12.2%,$32792351,87.8%
139,A Witness Out of the Blue,$37092694,-,-,$37092694,100%
140,The Intruder,$36599361,$35419122,96.8%,$1180239,3.2%
141,The Queen's Corgi,$35515687,-,-,$35515687,100%
142,Warrior of the Hornor,$34291831,-,-,$34291831,100%
143,The Battle: Roar to Victory,$34148707,-,-,$34148707,100%
144,The Bad Guys: The Movie,$34024386,$166972,0.5%,$33857414,99.5%
145,The Good Liar,$33856058,$17156058,50.7%,$16700000,49.3%
146,The Art of Racing in the Rain,$33766787,$26395642,78.2%,$7371145,21.8%
147,Bharat,$33185983,$2971549,9%,$30214434,91%
148,Brightburn,$32893421,$17300439,52.6%,$15592982,47.4%
149,Fly Me to the Saitama,$32802347,-,-,$32802347,100%
150,UglyDolls,$32450241,$20150241,62.1%,$12300000,37.9%
151,Stuber,$32390945,$22370452,69.1%,$10020493,30.9%
152,Hit Me Anyone One More Time!,$32333512,-,-,$32333512,100%
